,p,x,y,Ag,Pd,Pt
0,1,-22.5,-40.5,0.014884111379686758,0.4010507464407309,0.5840651421795823
1,2,-18.0,-40.5,0.03300614797361531,0.40746173145857156,0.5595321205678132
2,3,-13.5,-40.5,0.05112844887901311,0.41387280998118237,0.5349987411398045
3,4,-9.0,-40.5,0.06925101410166272,0.42028398201060924,0.510465003887728
4,5,-4.5,-40.5,0.08737384364734686,0.42669524754889787,0.4859309088037553
5,6,0.0,-40.5,0.10549693752184844,0.4331066065980941,0.4613964558800576
6,7,4.5,-40.5,0.12362029573095046,0.4395180591602435,0.43686164510880593
7,8,9.0,-40.5,0.1417439182804362,0.44592960523739245,0.4123264764821714
8,9,13.5,-40.5,0.15986780517608903,0.4523412448315865,0.38779094999232444
9,10,18.0,-40.5,0.17799195642369248,0.45875297794487196,0.3632550656314355
10,11,22.5,-40.5,0.19611637202903032,0.46516480457929477,0.33871882339167475
11,12,-27.0,-36.0,0.024562190833100163,0.3704076815495664,0.6050301276173334
12,13,-22.5,-36.0,0.0426846043654709,0.3768185514795352,0.580496844154994
13,14,-18.0,-36.0,0.06080728221927693,0.38322951491417656,0.5559632028665467
14,15,-13.5,-36.0,0.07893022440030116,0.38964057185553597,0.5314292037441628
15,16,-9.0,-36.0,0.09705343091432667,0.39605172230565944,0.506894846780014
16,17,-4.5,-36.0,0.1151769017671366,0.4024629662665927,0.4823601319662708
17,18,0.0,-36.0,0.13330063696451436,0.40887430374038153,0.45782505929510414
18,19,4.5,-36.0,0.15142463651224353,0.4152857347290721,0.4332896287586845
19,20,9.0,-36.0,0.16954890041610773,0.42169725923471013,0.40875384034918205
20,21,13.5,-36.0,0.18767342868189096,0.42810887725934205,0.38421769405876705
21,22,18.0,-36.0,0.2057982213153771,0.4345205888050136,0.3596811898796092
22,23,22.5,-36.0,0.2239232783223505,0.4409323938737713,0.33514432780387815
23,24,27.0,-36.0,0.24204859970859557,0.4473442924676613,0.31060710782374323
24,25,-31.5,-31.5,0.034240597512919545,0.339763580583007,0.6259958219040734
25,26,-27.0,-31.5,0.05236338799886351,0.346174335413657,0.6014622765874794
26,27,-22.5,-31.5,0.0704864428162095,0.35258518374888154,0.5769283734349091
27,28,-18.0,-31.5,0.08860976197074065,0.3589961255907261,0.5523941124385332
28,29,-13.5,-31.5,0.10673334546824031,0.36540716094123676,0.5278594935905228
29,30,-9.0,-31.5,0.12485719331449206,0.37181828980245923,0.5033245168830486
30,31,-4.5,-31.5,0.14298130551527957,0.3782295121764396,0.47878918230828094
31,32,0.0,-31.5,0.16110568207638662,0.3846408280652236,0.45425348985838976
32,33,4.5,-31.5,0.17923032300359734,0.3910522374708575,0.4297174395255452
33,34,9.0,-31.5,0.19735522830269583,0.3974637403953872,0.4051810313019169
34,35,13.5,-31.5,0.21548039797946655,0.40387533684085897,0.38064426517967437
35,36,18.0,-31.5,0.23360583203969393,0.41028702680931906,0.35610714115098685
36,37,22.5,-31.5,0.2517315304891628,0.4166988103028138,0.3315696592080235
37,38,27.0,-31.5,0.2698574933336579,0.4231106873233893,0.30703181934295276
38,39,31.5,-31.5,0.2879837205789644,0.42952265787309224,0.2824936215479435
39,40,-36.0,-27.0,0.04391933143574088,0.3091184434885057,0.6469622250757534
40,41,-31.5,-27.0,0.0620424988903902,0.3155290832083888,0.6224284179012209
41,42,-27.0,-27.0,0.08016593068640875,0.3219398164327482,0.5978942528808431
42,43,-22.5,-27.0,0.09828962682957999,0.32835064316362966,0.5733597300067904
43,44,-18.0,-27.0,0.11641358732568761,0.3347615634030789,0.5488248492712334
44,45,-13.5,-27.0,0.13453781218051544,0.3411725771531419,0.5242896106663426
45,46,-9.0,-27.0,0.1526623013998475,0.3475836844158648,0.4997540141842879
46,47,-4.5,-27.0,0.17078705498946786,0.3539948851932932,0.4752180598172389
47,48,0.0,-27.0,0.18891207295516102,0.36040617948747355,0.45068174755736545
48,49,4.5,-27.0,0.20703735530271136,0.36681756730045173,0.4261450773968368
49,50,9.0,-27.0,0.22516290203790368,0.37322904863427414,0.4016080493278222
50,51,13.5,-27.0,0.2432887131665227,0.3796406234909869,0.3770706633424903
51,52,18.0,-27.0,0.2614147886943536,0.3860522918726364,0.35253291943301013
52,53,22.5,-27.0,0.2795411286271814,0.39246405378126886,0.32799481759154975
53,54,27.0,-27.0,0.29766773297079147,0.39887590921893085,0.3034563578102776
54,55,31.5,-27.0,0.31579460173096946,0.40528785818766894,0.2789175400813616
55,56,36.0,-27.0,0.3339217349135009,0.41169990068952955,0.25437836439696954
56,57,-40.5,-22.5,0.053598392618161524,0.27847227021351184,0.6679293371683267
57,58,-36.0,-22.5,0.07172193705664914,0.284882794811179,0.6433952681321718
58,59,-31.5,-22.5,0.08984574584647374,0.2912934129132241,0.6188608412403023
59,60,-27.0,-22.5,0.1079698189934191,0.2977041245216929,0.5943260564848881
60,61,-22.5,-22.5,0.12609415650326927,0.30411492963863124,0.5697909138580994
