,p,x,y,Ag,Pd,Pt,Ru
0,1,-22.5,-40.5,0.03357007321141912,0.2775550953204825,0.4138036076652377,0.2750712238028606
1,2,-18.0,-40.5,0.03666647420326852,0.27391816457892104,0.38583440873904623,0.30358095247876427
2,3,-13.5,-40.5,0.03976286228651171,0.2702812489993836,0.3578653264138297,0.332090562300275
3,4,-9.0,-40.5,0.04285923746122944,0.2666443485817756,0.32989636068885897,0.360600053268136
4,5,-4.5,-40.5,0.04595559972750241,0.2630074633260021,0.30192751156340486,0.3891094253830905
5,6,0.0,-40.5,0.04905194908541136,0.2593705932319684,0.2739587790367384,0.41761867864588187
6,7,4.5,-40.5,0.05214828553503701,0.2557337382995796,0.24599016310813018,0.4461278130572532
7,8,9.0,-40.5,0.055244609076460054,0.25209689852874095,0.2180216637768513,0.4746368286179477
8,9,13.5,-40.5,0.058340919709761234,0.24846007391935754,0.19005328104217262,0.5031457253287086
9,10,18.0,-40.5,0.06143721743502126,0.24482326447133465,0.16208501490336494,0.5316545031902791
10,11,22.5,-40.5,0.06453350225232085,0.24118647018457748,0.13411686535969922,0.5601631622034025
11,12,-27.0,-36.0,0.04831410721240119,0.26738645928781873,0.44264421485687483,0.24165521864290532
12,13,-22.5,-36.0,0.051410458066928406,0.26374957253375125,0.4146751310884817,0.27016483831083865
13,14,-18.0,-36.0,0.05450679601313934,0.26011270094142963,0.38670616391985274,0.2986743391255783
14,15,-13.5,-36.0,0.05760312105111472,0.2564758445107589,0.3587373133502589,0.32718372108786753
15,16,-9.0,-36.0,0.06069943318093524,0.2528390032416443,0.3307685793789709,0.3556929841984495
16,17,-4.5,-36.0,0.06379573240268165,0.24920217713399115,0.3027999620052597,0.3842021284580675
17,18,0.0,-36.0,0.06689201871643465,0.2455653661877045,0.27483146122839613,0.4127111538674647
18,19,4.5,-36.0,0.06998829212227495,0.24192857040268959,0.24686307704765117,0.4412200604273843
19,20,9.0,-36.0,0.07308455262028328,0.2382917897788516,0.21889480946229561,0.4697288481385695
20,21,13.5,-36.0,0.07618080021054034,0.23465502431609572,0.19092665847160042,0.4982375170017635
21,22,18.0,-36.0,0.07927703489312687,0.23101827401432715,0.16295862407483652,0.5267460670177094
