index,p,x,y,Ru,Pd,Ag
0,1,-22.5,-40.5,0.47488780279452336,0.11482983719815755,0.4102823600073191
1,2,-18.0,-40.5,0.4860053284158113,0.1231472759583816,0.3908473956258071
2,3,-13.5,-40.5,0.4971227864230435,0.13146466413398938,0.3714125494429672
3,4,-9.0,-40.5,0.5082401768168368,0.13978200172544225,0.3519778214577211
4,5,-4.5,-40.5,0.5193574995978079,0.14809928873320172,0.3325432116689904
5,6,0.0,-40.5,0.5304747547665736,0.15641652515772927,0.3131087200756972
6,7,4.5,-40.5,0.5415919423237509,0.16473371099948625,0.2936743466767629
7,8,9.0,-40.5,0.5527090622699563,0.17305084625893422,0.2742400914711095
8,9,13.5,-40.5,0.5638261146058069,0.1813679309365345,0.2548059544576586
9,10,18.0,-40.5,0.5749430993319191,0.18968496503274862,0.23537193563533215
10,11,22.5,-40.5,0.5860600164489101,0.19800194854803796,0.21593803500305195
11,12,-27.0,-36.0,0.43671055044252943,0.13724280897269867,0.426046640584772
12,13,-22.5,-36.0,0.44782818833858135,0.14556017672135113,0.4066116349400674
13,14,-18.0,-36.0,0.4589457586199181,0.15387749388583652,0.38717674749424535
14,15,-13.5,-36.0,0.47006326128715625,0.16219476046661632,0.36774197824622745
15,16,-9.0,-36.0,0.48118069634091265,0.17051197646415187,0.3483073271949354
16,17,-4.5,-36.0,0.4922980637818042,0.1788291418789048,0.32887279433929106
17,18,0.0,-36.0,0.5034153636104476,0.1871462567113364,0.309438379678216
18,19,4.5,-36.0,0.5145325958274597,0.1954633209619081,0.2900040832106322
19,20,9.0,-36.0,0.5256497604334571,0.20378033463108147,0.2705699049354614
20,21,13.5,-36.0,0.5367668574290569,0.21209729771931782,0.2511358448516253
21,22,18.0,-36.0,0.5478838868148757,0.22041421022707863,0.23170190295804577
22,23,22.5,-36.0,0.5590008485915302,0.22873107215482524,0.2122680792536446
23,24,27.0,-36.0,0.5701177427596371,0.23704788350301914,0.1928343737373437
24,25,-31.5,-31.5,0.39853332431156085,0.15965576535348916,0.44181091033495007
25,26,-27.0,-31.5,0.4096510744822201,0.16797306209066562,0.42237586342711425
26,27,-22.5,-31.5,0.4207687570375045,0.17629030824412423,0.4029409347183713
27,28,-18.0,-31.5,0.4318863719780307,0.1846075038143265,0.38350612420764285
28,29,-13.5,-31.5,0.44300391930441557,0.19292464880173377,0.36407143189385066
29,30,-9.0,-31.5,0.454121399017276,0.20124174320680763,0.3446368577759165
