,p,x,y,Ag,Pt,Ru
0,1,-22.5,-40.5,0.06038837890037531,0.5939883432632652,0.3456232778363595
1,2,-18.0,-40.5,0.06082981109441701,0.560907192482234,0.378262996423349
2,3,-13.5,-40.5,0.06127126721157908,0.527824248890523,0.41090448389789785
3,4,-9.0,-40.5,0.06171274725380628,0.49473951234238844,0.44354774040380535
4,5,-4.5,-40.5,0.062154251223043674,0.4616529826920699,0.4761927660848864
5,6,0.0,-40.5,0.06259577912123646,0.42856465979379177,0.5088395610849717
6,7,4.5,-40.5,0.06303733095033007,0.3954745435017625,0.5414881255479074
7,8,9.0,-40.5,0.0634789067122701,0.3623826336701746,0.5741384596175553
8,9,13.5,-40.5,0.06392050640900249,0.3292889301532049,0.6067905634377926
9,10,18.0,-40.5,0.06436213004247325,0.29619343280501437,0.6394444371525124
10,11,22.5,-40.5,0.06480377761462867,0.26309614147974814,0.6721000809056232
11,12,-27.0,-36.0,0.07802938400589939,0.6165268357536453,0.30544378024045543
12,13,-22.5,-36.0,0.07847127577682363,0.5834476754209776,0.3380810488021988
13,14,-18.0,-36.0,0.07891319149477583,0.5503667224602742,0.37072008604495
14,15,-13.5,-36.0,0.0793551311617026,0.5172839767258116,0.4033608921124857
15,16,-9.0,-36.0,0.07979709477955094,0.4841994380718509,0.4360034671485982
16,17,-4.5,-36.0,0.08023908235026782,0.4511131063526371,0.4686478112970951
17,18,0.0,-36.0,0.08068109387580057,0.4180249814223995,0.5012939247017999
18,19,4.5,-36.0,0.08112312935809668,0.3849350631353519,0.5339418075065514
19,20,9.0,-36.0,0.0815651887991039,0.3518433513456918,0.5665914598552044
20,21,13.5,-36.0,0.08200727220077014,0.3187498459076011,0.5992428818916288
21,22,18.0,-36.0,0.08244937956504354,0.28565454667524603,0.6318960737597104
22,23,22.5,-36.0,0.08289151089387244,0.2525574535027768,0.6645510356033507
23,24,27.0,-36.0,0.0833336661892054,0.21945856624432805,0.6972077675664665
24,25,-31.5,-31.5,0.0956689176572096,0.6390634482853976,0.2652676340573929
25,26,-27.0,-31.5,0.09611126892681372,0.6059862781841279,0.2979024528890584
